Name	En	Exp	Diff	Rec Combat	Stamina		SB Reward 5-1	SB#5-1	SB Reward 5-2	SB#5-2	SB Reward 5-3	SB#5-3	SB Reward 5-4	SB#5-4	SB Reward 5-5	SB#5-5	Reward1	Reward2	Reward3	Reward4	Reward5	Reward6	Reward7	Dungeon1	Dungeon2	Dungeon3	Dungeon4	Dungeon5	Dungeon6	Tower1	T#1	Tower2	T#2	Tower3	T#3	Tower4	T#4	Tower5	T#5	FDJP1	FDJP2	FDJP3	FDJP4	FDEN1	FDEN2	FDEN3	FDEN4	Fake News	Limited	Training Quest Name	Training Quest Name_EN	Quest Type	Score Battle ID
湿地の強敵	Marsh Enemy	300	Hard	4300	10		Cole	600	Beehive	8	Magic Grass	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-3
緊急依頼・３	Urgent Request  - 3	340	Hard	4650	10		Cole	620	Sapling Branch	4	Beehive	4	Magic Grass	2	Silver Beehive	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-4
先輩たちとお散歩です	A Walk with my Senpai	460	Hard	4900	10		Cole	680	Princess Grass	8	Tall Taun	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-5
再び湿地へ・３	Back to the Marsh -  3	500	Hard	5000	10		Cole	700	Unknown Gemstone	8	Magic Grass	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-6
夜の湿地の怪物	Nocturnal Marsh Monster	510	Hard	5200	10		Cole	710	Resentful Scream	8	Silver Beehive	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-7
王都周辺にて・３	By the Royal Capital - 3	600	Very Hard	5500	10		Cole	740	Tall Taun	12	Trio Taun	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-1
湿地の前の森で	Forest Before the Marsh	700	Very Hard	5900	10		Cole	780	Magic Grass	12	Serenity Flower	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-2
湿地の強敵	Marsh Enemy	750	Very Hard	6000	10		Cole	800	Silver Beehive	12	Gold Beehive	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-3
緊急依頼・３	Urgent Request  - 3	800	Very Hard	6300	10		Cole	820	Magic Grass	6	Silver Beehive	6	Serenity Flower	2	Gold Beehive	2	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-4
先輩たちとお散歩です	A Walk with my Senpai	900	Very Hard	6600	10		Cole	860	Tall Taun	12	Serenity Flower	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-5
再び湿地へ・３	Back to the Marsh -  3	1000	Very Hard	6900	10		Cole	900	Magic Grass	12	Gold Beehive	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-6
夜の湿地の怪物	Nocturnal Marsh Monster	1050	Very Hard	7000	10		Cole	920	Silver Beehive	12	Trio Taun	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	1-7
山道の魔物たち	Monsters on the Mountain Path	250	Normal	3900	10		Cole	560	Koberinite	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-1
故郷への道	The Road to our Hometown	300	Normal	4300	10		Cole	600	Pentanite	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-2
ランタナの花を求めて	Searching for Lantana Flowers	340	Normal	4400	10		Cole	620	Natural Oil	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-3
洞窟の魔物たち	Monsters in the Cave	420	Normal	4700	10		Cole	660	Cotton Grass	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-4
私の錬金術はそんなんじゃない！	That's not the Alchemy I believe in!	460	Normal	4900	10		Cole	680	Koberinite	3	Pentanite	2					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-5
群がる魔物	Monster Swarm	500	Normal	5000	10		Cole	700	Natural Oil	3	Cotton Grass	2					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-6
山道の魔物たち・３	Monsters on the Mountain Path - 3	700	Hard	5900	10		Cole	780	Koberinite	8	Tough Vine	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-1
故郷への道・３	The Road to our Hometown - 3	750	Hard	6200	10		Cole	800	Pentanite	8	Fairystone Fragment	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-2
ランタナの花を求めて・３	Searching for Lantana Flowers - 3	850	Hard	6600	10		Cole	840	Natural Oil	8	Sky Bubble	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-3
洞窟の魔物たち・２	Monsters in the Cave - 2	950	Hard	6800	10		Cole	880	Cotton Grass	8	Tough Vine	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-4
私の錬金術はそんなんじゃない！	That's not the Alchemy I believe in!	1000	Hard	6950	10		Cole	900	Koberinite	4	Pentanite	4	Fairystone Fragment	4			#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-5
群がる魔物	Monster Swarm	1050	Hard	7000	10		Cole	900	Natural Oil	4	Cotton Grass	4	Sky Bubble	4			#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-6
山道の魔物たち・３	Monsters on the Mountain Path - 3	1120	Very Hard	7450	10		Cole	960	Tough Vine	12	Dragon Flower	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-1
故郷への道・３	The Road to our Hometown - 3	1200	Very Hard	7750	10		Cole	1000	Fairystone Fragment	12	Cometstone	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-2
ランタナの花を求めて・３	Searching for Lantana Flowers - 3	1240	Very Hard	8100	10		Cole	1040	Sky Bubble	12	Arbor Ivy	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-3
洞窟の魔物たち・２	Monsters in the Cave - 2	1280	Very Hard	8400	10		Cole	1080	Tough Vine	12	Cometstone	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-4
私の錬金術はそんなんじゃない！	That's not the Alchemy I believe in!	1300	Very Hard	8500	10		Cole	1100	Fairystone Fragment	12	Arbor Ivy	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-5
群がる魔物	Monster Swarm	1350	Very Hard	8600	10		Cole	1100	Sky Bubble	12	Dragon Flower	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	2-6
ランタナの貝を探しに	Searching for Lantana Shells	600	Normal	5500	10		Cole	740	Torch Grass	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	3-1
海へ向かおう	Let's go to the beach	700	Normal	5900	10		Cole	780	Red Flower	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	3-2
夜の海岸線	Night-time Beach	850	Normal	6500	10		Cole	840	Red Sand	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	3-3
その名は鴉	The Name is Karasu	1000	Normal	6900	10		Cole	900	Medicinal Moss	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	3-4
ランタナの貝を探しに・３	Searching for Lantana Shells - 3	1080	Hard	7200	10		Cole	940	Torch Grass	8	Shiny Crystal Fragments	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	3-1
海へ向かおう・３	Let's go to the beach - 3	1160	Hard	7600	10		Cole	980	Red Flower	8	Sand Crystal	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	3-2
夜の海岸線・２	Night-time Beach - 2	1240	Hard	8000	10		Cole	1040	Red Sand	8	Shiny Crystal Fragments	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	3-3
その名は鴉	The Name is Karasu	1300	Hard	8500	10		Cole	1100	Medicinal Moss	8	Sand Crystal	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	3-4
ランタナの貝を探しに・３	Searching for Lantana Shells - 3	1340	Very Hard	8900	10		Cole	1120	Shiny Crystal Fragments	12	Shining Sand	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	3-1
海へ向かおう・３	Let's go to the beach - 3	1380	Very Hard	9200	10		Cole	1140	Sand Crystal	12	Solflower	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	3-2
夜の海岸線・２	Night-time Beach - 2	1440	Very Hard	9600	10		Cole	1160	Shiny Crystal Fragments	12	Solflower	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	3-3
その名は鴉	The Name is Karasu	1500	Very Hard	10000	10		Cole	1200	Sand Crystal	12	Shining Sand	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	3-4
山の魔物退治	Mountain Monster Extermination	1080	Normal	7650	10		Cole	940	Rose Bee	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	4-1
引っ越し作業	Moving - 2	1120	Normal	7800	10		Cole	960	Weeping Grass	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	4-2
素材を集めよう	Let's Go Gathering	1160	Normal	8000	10		Cole	980	Purple Dew	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	4-3
疾き者	It's Fast	1200	Normal	8100	10		Cole	1000	Orange Glass	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	4-4
山の魔物退治・３	Mountain Monster Extermination - 3	1240	Hard	8400	10		Cole	1040	Rose Bee	8	Gem Fly	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	4-1
引っ越し作業・２	Moving - 2	1260	Hard	8550	10		Cole	1060	Weeping Grass	8	Lantern Firefly	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	4-2
素材を集めよう・３	Let's Go Gathering - 3	1280	Hard	8700	10		Cole	1080	Purple Dew	8	Gem Fly	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	4-3
疾き者	It's Fast	1300	Hard	8850	10		Cole	1100	Orange Glass	8	Lantern Firefly	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	4-4
山の魔物退治・３	Mountain Monster Extermination - 3	1340	Very Hard	9100	10		Cole	1120	Gem Fly	12	Begrudging Scream	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	4-1
引っ越し作業・２	Moving - 2	1360	Very Hard	9250	10		Cole	1130	Lantern Firefly	12	Soul Jewel	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	4-2
素材を集めよう・３	Let's Go Gathering - 3	1380	Very Hard	9400	10		Cole	1140	Gem Fly	12	Soul Jewel	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	4-3
疾き者	It's Fast	1400	Very Hard	9500	10		Cole	1150	Lantern Firefly	12	Begrudging Scream	4					#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	4-4
師匠に会いに行こう	Let's Go See Master	1080	Normal	7900	10		Cole	1040	Funny Plant	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	5-1
師匠の代わりに	In Master's Stead	1120	Normal	8050	10		Cole	1060	Sour Fruit	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	5-2
湖で素材集め	Gathering at the Lake	1160	Normal	8400	10		Cole	1080	Eicheloa	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	5-3
火山のヌシ	Volcano Lord	1200	Normal	8600	10		Cole	1100	Heine Flamestone	5							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A							#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A									-100				2	5-4
